,Date,User,Tweet
64,2022-11-29 10:32:45+00:00,AnkurSriUK,"@IncomeTaxIndia @nsitharaman

A 2nd PAN was issued to me years ago which recently came to my knowledge. I have been trying to get it cancelled for more than 6 months now. There is no response from any of the authorities of CBDT, @FinMinIndia.

SHAM #DigitalIndia

@PMOIndia"
65,2022-11-29 10:10:47+00:00,AnanyPahal,"Officially started Anany Pathshala -4 in village Dhaypura .Some photos from it...Hope it will bring some changes in Society.

#digitalindia
#study
#educationtoall
#socialwork 
#menstrualhygiene
#plantation
#environment 
#computerliteracy
#skilldevelopment
#skillindia
#Mauranipur https://t.co/OSDXYL1uo1"
66,2022-11-29 09:33:49+00:00,_SecurityBytes,Hackers demand Rs 200cr in #cryptocurrency from AIIMS-Delhi as server remains down. Visionary @IMPraveenDalal has been warning since 2014 about this but Modi govt is more interested in Hindu-Muslim and zumalabazi. #DigitalIndia @_PTLB @_DigitalPolice @CongressOrBJP @_StareDecisis https://t.co/glWPcHbfgc
67,2022-11-29 09:12:37+00:00,CongressOrBJP,"Both #NeGP and #DigitalIndia are suffering from same shortcomings despite being launched by two different govts. NeGP has been renamed as Digital India but with worst administration Says Visionary @IMPraveenDalal
 https://t.co/ng5klRAl6O. @_PTLB @_SecurityBytes @_DigitalPolice"
68,2022-11-29 09:00:33+00:00,VbnVinay,#Airtel #ministryoftele #RelianceIndustries #Reliance #DigitalIndia ... From 29th to 6th Dec. And on top of it your reminding me to recharge. Is there anything you can do other than regretting. Do you have any BCP or is just the messages? https://t.co/uC66BxXQNi https://t.co/uwWNwfTjuC
69,2022-11-29 08:56:25+00:00,GoI_MeitY,"Get a chance to learn #AI from the brightest minds from across the country! Register for the ‘YUVAi: Youth for Unnati and Vikas with AI’ program now!
 
Visit: https://t.co/Sd5Bsnlmig

#DigitalIndia #EmergingTech https://t.co/q4SK2vFFwM"
70,2022-11-29 08:55:53+00:00,_DigitalIndia,"Get a chance to learn #AI from the brightest minds from across the country! Register for the ‘YUVAi: Youth for Unnati and Vikas with AI’ program now!
 
Visit: https://t.co/r7BdEUS6wl

#DigitalIndia #EmergingTech https://t.co/kCLMnNUZ6C"
71,2022-11-29 08:31:21+00:00,_PTLB,"So far as per our personal experience, responses from various PIOs and the conduct of MeitY, once thing is clear that #DigitalIndia project is more rhetoric and scam than a reality says Visionary @IMPraveenDalal  https://t.co/LK4DCmwqtE. @AadhaarLies @FreedomMyths @_GroundReality"
72,2022-11-29 08:00:27+00:00,TATHAGATRATH,"@IndiaPostOffice just want to know ,is this valid lunch break time as per postal policies. And after repeated complains also,upi qr code installed in post office isn't working since 1 year,and employees are demanding also exact change from us. Where is #digitalindia now?@PMOIndia https://t.co/B5FOl7vwFB"
73,2022-11-29 07:57:34+00:00,AadhaarLies,Both #NeGP and #DigitalIndia are suffering from same shortcomings despite being launched by two different govts. NeGP has been renamed as Digital India but with worst administration Says Visionary @IMPraveenDalal https://t.co/gnDVA8IZg0. @_PTLB @_SecurityBytes @_DigitalPolice
74,2022-11-29 07:34:42+00:00,_GroundReality,Both #NeGP and #DigitalIndia are suffering from same shortcomings despite being launched by two different govts. NeGP has been renamed as Digital India but with worst administration Says Visionary @IMPraveenDalal https://t.co/sNS1aQZUcL. @_PTLB @_SecurityBytes @_DigitalPolice
